(CET) 26/03/2023 00:04:53 | all | Updated guilds.json
(CET) 26/03/2023 00:04:53 | all | Updated guilds.json
(CET) 26/03/2023 00:05:21 | 1008145667622969397 | Command (show) was requested by (Tomer27cz#4272) -- (options: [None, False])
(CET) 26/03/2023 00:05:22 | all | Updated guilds.json
(CET) 26/03/2023 00:05:27 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 26/03/2023 00:06:13 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 26/03/2023 00:06:16 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [100.0, False, True])
(CET) 26/03/2023 00:06:16 | all | Updated guilds.json
(CET) 26/03/2023 00:06:16 | all | Updated guilds.json
(CET) 26/03/2023 00:08:44 | 1008145667622969397 | Command (disconnect) was requested by (Tomer27cz#4272) -- (options: None)
(CET) 26/03/2023 00:08:44 | 1008145667622969397 | Command (stop) was requested by (Tomer27cz#4272) -- (options: [True])
(CET) 26/03/2023 00:08:44 | all | Updated guilds.json
(CET) 26/03/2023 00:08:44 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 26/03/2023 00:08:44 | 1008145667622969397 | stopped
(CET) 26/03/2023 00:08:44 | all | Updated guilds.json
(CET) 26/03/2023 01:15:39 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:15:39 | no guild | Loaded radio.json
(CET) 26/03/2023 01:15:39 | no guild | Loaded languages.json
(CET) 26/03/2023 01:15:39 | no guild | Loaded other.json
(CET) 26/03/2023 01:15:39 | no guild | Bot class initialized
(CET) 26/03/2023 01:15:39 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:15:39 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:17:33 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:17:33 | no guild | Loaded radio.json
(CET) 26/03/2023 01:17:33 | no guild | Loaded languages.json
(CET) 26/03/2023 01:17:33 | no guild | Loaded other.json
(CET) 26/03/2023 01:17:33 | no guild | Bot class initialized
(CET) 26/03/2023 01:17:33 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:17:33 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:18:47 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 26/03/2023 01:18:47 | no guild | Loaded radio.json
(CET) 26/03/2023 01:18:47 | no guild | Loaded languages.json
(CET) 26/03/2023 01:18:47 | no guild | Loaded other.json
(CET) 26/03/2023 01:18:47 | no guild | Bot class initialized
(CET) 26/03/2023 01:18:47 | no guild | Loaded guilds.json
(CET) 26/03/2023 01:18:47 | no guild | Loaded sound_effects folder
(CET) 26/03/2023 01:18:50 | no guild | Trying to sync commands
(CET) 26/03/2023 01:18:50 | no guild | Synced slash commands for Testing Bot#3465
(CET) 26/03/2023 01:18:50 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 26/03/2023 01:24:30 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['two steps from hell star sky'])
(CET) 26/03/2023 01:24:30 | 1008145667622969397 | play_def -> ['two steps from hell star sky', False]
